frequency, magnitude
312.5, 0.00976563
468.75, 0.00976563
625, 0.0439453
781.25, 0.0976563
937.5, 0.219727
1093.75, 0.756836
1250, 0.405273
1406.25, 0.117188
1562.5, 0.0683594
1718.75, 0.0634766
1875, 0.078125
2031.25, 0.078125
2187.5, 0.0537109
2343.75, 0.0341797
2500, 0.00976563
2656.25, 0.0146484
2812.5, 0.0244141
2968.75, 0.0537109
3125, 0.307617
3281.25, 0.00976563
3437.5, 0.0537109
3593.75, 0.0634766
3750, 0.0537109
3906.25, 0.0341797
4062.5, 0.0195313
4218.75, 0.00488281
4375, 0.0146484
4531.25, 0.0341797
4687.5, 0.0537109
4843.75, 0.0732422
5000, 0.0683594
5156.25, 0.0927734
5312.5, 0.0439453
5468.75, 0.00488281
5625, 0.0146484
5781.25, 0.0195313
5937.5, 0.0195313
6093.75, 0.0146484
6250, 0.0244141
6406.25, 0.0292969
6562.5, 0.0244141
6718.75, 0.00976563
6875, 0.0439453
7031.25, 0.0927734
7187.5, 0.0683594
7343.75, 0.0341797
7500, 0.0341797
7656.25, 0.00488281
7812.5, 0.0146484
7968.75, 0.0244141
8125, 0.0195313
8281.25, 0.00488281
8437.5, 0.00976563
8593.75, 0.0244141
8750, 0.00976563
8906.25, 0.0244141
9062.5, 0.117188
9218.75, 0.0341797
9375, 0.0585938
9531.25, 0.0830078
9687.5, 0.0683594
9843.75, 0.0341797
10000, 0.00976563
