frequency, magnitude
312.5, 0.00976563
468.75, 0.00976563
625, 0.00976563
781.25, 0
937.5, 0.00488281
1093.75, 0.00488281
1250, 0.00488281
1406.25, 0.00488281
1562.5, 0.00488281
1718.75, 0.00488281
1875, 0.00976563
2031.25, 0.00488281
2187.5, 0.00976563
2343.75, 0.0146484
2500, 0.00976563
2656.25, 0.0146484
2812.5, 0.0146484
2968.75, 0.0292969
3125, 0.0292969
3281.25, 0.0390625
3437.5, 0.0439453
3593.75, 0.0537109
3750, 0.0927734
3906.25, 0.175781
4062.5, 0.703125
4218.75, 0.3125
4375, 0.126953
4531.25, 0.0830078
4687.5, 0.0585938
4843.75, 0.0488281
5000, 0.0390625
5156.25, 0.0390625
5312.5, 0.0292969
5468.75, 0.0244141
5625, 0.0195313
5781.25, 0.0195313
5937.5, 0.0195313
6093.75, 0.0146484
6250, 0.0146484
6406.25, 0.0146484
6562.5, 0.00976563
6718.75, 0.00976563
6875, 0.00976563
7031.25, 0.0146484
7187.5, 0.00976563
7343.75, 0.0146484
7500, 0.00976563
7656.25, 0.00976563
7812.5, 0.0146484
7968.75, 0.0195313
8125, 0.0488281
8281.25, 0.0732422
8437.5, 0.0146484
8593.75, 0.00976563
8750, 0.00976563
8906.25, 0.00976563
9062.5, 0.00976563
9218.75, 0.00488281
9375, 0.00976563
9531.25, 0.00976563
9687.5, 0.00976563
9843.75, 0.0146484
10000, 0.00976563
