frequency, magnitude
312.5, 0.0878906
468.75, 0.112305
625, 0.0439453
781.25, 0.0683594
937.5, 0.0292969
1093.75, 0.0292969
1250, 0.0439453
1406.25, 0.0146484
1562.5, 0.0146484
1718.75, 0.00976563
1875, 0.0244141
2031.25, 0.0244141
2187.5, 0.0341797
2343.75, 0.0292969
2500, 0.0341797
2656.25, 0.0537109
2812.5, 0.00976563
2968.75, 0.0195313
3125, 0.00976563
3281.25, 0.0537109
3437.5, 0.0537109
3593.75, 0.0585938
3750, 0.126953
3906.25, 0.200195
4062.5, 0.81543
4218.75, 0.336914
4375, 0.12207
4531.25, 0.0830078
4687.5, 0.078125
4843.75, 0.0537109
5000, 0.0341797
5156.25, 0.0439453
5312.5, 0.0341797
5468.75, 0.0634766
5625, 0.0292969
5781.25, 0.0195313
5937.5, 0.0292969
6093.75, 0.0146484
6250, 0.0146484
6406.25, 0.00488281
6562.5, 0.0195313
6718.75, 0.0146484
6875, 0.0439453
7031.25, 0.00488281
7187.5, 0.0244141
7343.75, 0.0585938
7500, 0.0146484
7656.25, 0.0146484
7812.5, 0.0976563
7968.75, 0.0390625
8125, 0.0244141
8281.25, 0.27832
8437.5, 0.0390625
8593.75, 0.0244141
8750, 0.0537109
8906.25, 0.0146484
9062.5, 0.00976563
9218.75, 0.0390625
9375, 0.00976563
9531.25, 0.0195313
9687.5, 0.0390625
9843.75, 0.00488281
10000, 0.00488281
